Object_Designation  ,Year_Range  ,Potential_Impacts  ,Impact_Probability_cumulative,Vinfinity,H_mag,Estimated_Diameter,Palermo_Scale,Palermo_Scale_max
(2010 JH110),2071-2102,5,7.5E-05,8.07,26.3,0.019,-5.01,-5.17
(2005 CC37),2117-2117,1,1.9E-06,8.42,22.7,0.098,-5.01,-5.01
(2010 XB73),2023-2110,50,2.8E-07,5.98,22.5,0.11,-5.02,-5.68
(2011 MX),2070-2086,21,9.3E-05,12.15,26.9,0.014,-5.02,-5.34
(2020 JS1),2022-2109,31,9.1E-06,5.22,26.3,0.018,-5.02,-5.06
(2006 CM10),2092-2092,1,1.8E-07,22.34,21.7,0.15,-5.03,-5.03
(2006 JE),2094-2112,5,1.8E-06,26.35,23.8,0.058,-5.04,-5.1
(2010 VQ),2034-2114,50,0.00014,4.57,27.7,0.01,-5.04,-5.24
(2013 EV27),2038-2075,5,2.8E-05,12.37,27,0.014,-5.04,-5.04
(2014 MA68),2021-2116,389,1.6E-05,4.96,25.9,0.022,-5.04,-5.56
(2018 XQ2),2065-2120,63,0.0007,3.81,28.1,0.008,-5.04,-5.53
(2004 VM24),2049-2114,28,2.3E-05,12.86,25.7,0.025,-5.05,-5.63
(2011 CW46),2021-2115,100,5E-07,16.62,24.7,0.039,-5.05,-5.1
(2012 SY49),2031-2114,23,1.2E-05,15.65,25.8,0.023,-5.05,-5.42
(2000 LG6),2075-2115,38,0.0019,2.11,29,0.005,-5.06,-5.46
(2014 MV67),2022-2025,2,6.3E-10,12.4,19,0.54,-5.07,-5.24
(2010 VW194),2042-2116,35,7.1E-05,7.31,26.5,0.017,-5.08,-5.64
(2019 JO1),2044-2052,4,4.1E-05,18.23,27.3,0.012,-5.08,-5.1
(2006 CD),2021-2116,47,2.1E-08,11.28,20.9,0.223,-5.09,-5.61
(2020 KN2),2063-2120,11,4E-05,7.88,26.4,0.018,-5.11,-5.12
(2017 DC120),2021-2115,81,5.2E-08,10.55,22.3,0.12,-5.12,-5.29
(2011 AE3),2021-2117,617,5.8E-05,4.77,27.7,0.01,-5.12,-5.42
(2017 GG8),2066-2078,4,2.4E-05,11.46,26.1,0.021,-5.13,-5.17
(1994 GV),2036-2116,48,0.00016,8.09,27.5,0.011,-5.14,-5.69
(2007 CC27),2067-2105,34,7.7E-05,10.88,26.9,0.014,-5.14,-5.66
(2009 TH8),2097-2100,3,8.9E-06,13.03,24.9,0.036,-5.14,-5.19
(2020 BW5),2046-2110,10,2.5E-05,8.67,26.4,0.018,-5.14,-5.19
(2004 PU42),2071-2115,26,7.6E-05,10.12,26.8,0.015,-5.15,-5.87
(2017 QC36),2024-2119,61,4.8E-07,4.62,23.1,0.083,-5.16,-5.53
(2007 DS7),2048-2114,23,2.1E-05,12.38,25.9,0.023,-5.17,-5.39
(2009 FZ4),2021-2116,396,2.4E-06,10.13,25.2,0.031,-5.17,-5.89
(2010 JL88),2049-2116,82,5.7E-05,14.87,26.8,0.015,-5.17,-5.85
(2016 NL39),2055-2120,74,0.00025,3.94,27.6,0.01,-5.18,-5.94
(1999 RZ31),2056-2056,2,1.6E-06,8.2,23.8,0.059,-5.19,-5.25
(2014 UD57),2076-2115,6,2.9E-05,8.72,25.8,0.023,-5.19,-5.32
(2008 YO2),2052-2109,29,7.6E-06,16.49,25.2,0.031,-5.2,-5.76
(2013 BL18),2070-2092,5,2.1E-05,14.19,26,0.022,-5.2,-5.34
(2020 CO2),2048-2118,25,3.6E-05,15.78,26.7,0.016,-5.2,-5.41
(2018 YH2),2024-2119,104,3.3E-07,9.71,23.1,0.082,-5.2,-5.8
(2014 JR24),2069-2115,34,0.0012,3.72,29.3,0.005,-5.21,-5.25
(2020 CD3),2061-2118,24,0.022,NaN,31.7,0.002,-5.21,-5.54
(2010 MZ112),2029-2117,193,4.7E-06,1.8,25.3,0.032,-5.22,-6.53
(2017 NT5),2050-2115,6,5.8E-07,20.15,22.9,0.09,-5.22,-5.65
(2017 SA20),2027-2120,509,0.00043,5.87,28.4,0.007,-5.22,-6.39
(2001 BA16),2033-2052,5,9.9E-06,4.9,25.8,0.023,-5.23,-5.26
(2006 BC8),2050-2112,20,9.5E-06,13.16,25.1,0.032,-5.23,-5.54
(2008 ST),2047-2116,23,0.00016,3.24,27.1,0.013,-5.23,-5.52
(2010 UJ),2022-2109,111,1.1E-05,2.92,26.3,0.019,-5.23,-5.56
(2006 QN111),2079-2079,1,1.9E-06,10.55,23.8,0.06,-5.24,-5.24
(2011 AM37),2048-2117,76,0.0012,3.65,29.7,0.004,-5.24,-5.36
(2019 DP),2073-2120,18,1.2E-05,8.79,24.9,0.035,-5.24,-5.96
(2013 WM),2047-2105,2,4.3E-07,35.43,23.9,0.055,-5.25,-5.41
(2018 CM),2063-2120,14,0.00016,9.5,27.8,0.009,-5.25,-5.34
(2009 BR5),2059-2078,2,1.7E-07,17.97,22.1,0.13,-5.26,-5.26
(2009 FJ),2058-2117,15,9.4E-06,8.92,24.9,0.036,-5.26,-5.65
(2008 EL68),2021-2113,591,3.1E-05,3.53,27.9,0.009,-5.26,-5.63
(2020 TY1),2092-2113,5,6E-07,11.87,22.6,0.1,-5.28,-5.65
(2008 KO),2049-2061,3,7.8E-07,23.49,24.4,0.045,-5.29,-5.61
(2014 HN197),2027-2118,57,6.5E-08,7.43,21.2,0.194,-5.29,-6.21
(2019 XV),2056-2116,20,0.0014,1.33,29.2,0.005,-5.29,-5.94
(2019 XS),2105-2117,10,3.7E-06,10.56,24.1,0.052,-5.29,-5.73
(2011 BG10),2051-2074,4,1.3E-05,12.3,26.3,0.019,-5.3,-5.56
(2005 WG57),2029-2104,7,7.2E-07,9.88,23.6,0.063,-5.31,-5.46
(2008 EM68),2021-2116,1082,1.1E-05,14.4,27.7,0.01,-5.31,-5.65
(2007 UO6),2031-2113,13,2E-05,11.68,27.4,0.011,-5.32,-5.57
(2005 EL70),2034-2034,1,1.3E-07,35.53,24.1,0.052,-5.32,-5.32
(2020 BK3),2091-2105,6,6.3E-05,10.38,26.9,0.014,-5.32,-5.32
(2010 HV20),2116-2116,2,1.3E-07,24.74,21.9,0.14,-5.32,-5.36
(2020 OR4),2093-2117,15,7.9E-06,21.38,25.6,0.025,-5.33,-5.63
(2018 TP5),2074-2105,23,1.6E-05,10.86,25.8,0.024,-5.34,-5.87
(2015 KG158),2045-2111,36,0.00024,7.69,28.3,0.007,-5.34,-5.4
(2002 TY59),2084-2114,5,1.7E-05,8.22,25.4,0.028,-5.35,-5.53
(2018 GE2),2060-2117,44,8.1E-05,6.11,27,0.013,-5.35,-5.84
(2005 TM173),2020-2116,147,9.4E-07,8.66,24.1,0.051,-5.36,-6.24
(2011 BT59),2052-2119,3,8.6E-09,37.6,20.9,0.22,-5.36,-5.39
(2007 EV),2088-2117,9,8.8E-06,10.59,25,0.033,-5.37,-5.81
(2018 PZ21),2045-2119,18,3.8E-05,6.3,26.7,0.016,-5.37,-5.44
(2009 FG),2022-2112,30,7.9E-06,9.12,25.5,0.027,-5.39,-5.93
(2009 OW6),2080-2115,2,1.2E-05,6.65,25.3,0.029,-5.39,-5.55
(2019 HS3),2055-2083,7,1E-05,26.19,26.9,0.014,-5.39,-5.45
(2016 RR1),2063-2113,26,0.00021,6.75,27.8,0.009,-5.39,-5.71
(2018 JN),2100-2120,4,1.2E-05,7.76,25.1,0.033,-5.39,-5.54
(2012 BY1),2043-2074,7,4E-06,18.19,25.8,0.024,-5.4,-5.58
(2020 UC),2053-2117,56,0.00012,7.57,27.6,0.01,-5.4,-5.96
(2020 HQ4),2051-2119,47,7.3E-05,3.52,27,0.014,-5.4,-6.07
(2010 GH7),2099-2117,56,0.00014,5.05,27.3,0.012,-5.41,-5.91
(2018 VS6),2083-2118,17,4.7E-05,11.8,26.9,0.014,-5.41,-5.59
(2015 BW516),2052-2061,4,5.8E-05,11.48,27.7,0.01,-5.41,-5.76
(2020 BY4),2055-2117,13,8.4E-06,20.43,26.1,0.02,-5.41,-5.79
(2020 DK),2089-2119,21,2.2E-05,10.44,26,0.021,-5.41,-6.17
(2004 GE2),2106-2109,2,6.5E-08,20.57,21.4,0.18,-5.42,-5.51
(2016 BA15),2054-2108,16,1.7E-05,15.88,26.8,0.015,-5.42,-5.54
(2016 DA31),2031-2117,189,0.00029,13.74,29.9,0.004,-5.42,-5.7
(2005 VN5),2047-2115,23,5E-05,6.57,27,0.014,-5.43,-5.88
(2005 AU3),2081-2117,30,1.5E-05,14.39,26,0.021,-5.43,-6.09
(2011 SM173),2058-2112,10,5.6E-05,14.25,27.8,0.009,-5.43,-5.47
(2012 DJ54),2068-2119,47,0.00034,5.43,28.5,0.007,-5.43,-5.73
(2016 LP10),2023-2115,28,0.00011,15.57,29.5,0.004,-5.44,-5.56
(2019 SX),2048-2116,58,0.00049,14.43,29.5,0.004,-5.44,-5.65
(2008 VS4),2021-2114,308,5.8E-07,9.51,24.2,0.049,-5.45,-6.47
(2020 GB1),2049-2116,16,2.8E-05,8.28,26.9,0.014,-5.45,-5.57
(2020 GA3),2054-2119,17,4.5E-06,16.87,25.1,0.033,-5.45,-5.81
(2004 ME6),2023-2105,44,1E-07,12.16,22.6,0.103,-5.46,-6.24
(2009 FZ10),2111-2115,3,1E-05,13.01,25.5,0.027,-5.46,-5.48
(2019 UH9),2078-2114,11,3E-06,22.38,25.2,0.031,-5.47,-5.91
(2019 KJ4),2059-2118,83,8.4E-05,5.01,27.2,0.012,-5.47,-6.26
(2012 VJ38),2031-2111,27,0.00011,4.45,28.5,0.007,-5.49,-5.61
(2020 PQ2),2066-2092,2,7.8E-07,20.39,24.3,0.048,-5.49,-5.54
(2010 TW149),2058-2113,54,8.6E-06,17.07,25.9,0.023,-5.5,-6.04
(2011 EB),2070-2110,4,3.3E-05,10.31,26.9,0.014,-5.5,-5.57
(2020 GO1),2064-2120,49,0.00013,6.85,27.6,0.01,-5.5,-6.03
(2020 PO4),2053-2120,62,5.7E-05,5.82,26.9,0.014,-5.5,-6.19
(2016 TY55),2074-2118,18,4.9E-05,4.61,26.9,0.014,-5.52,-5.6
(2014 GQ17),2052-2115,81,5.2E-05,5.41,27.1,0.013,-5.52,-6.26
(2016 CK137),2040-2119,88,5.4E-05,9.83,27.3,0.012,-5.53,-5.96
(2012 TV),2070-2107,13,3.1E-06,16.67,25.2,0.031,-5.53,-5.76
(2013 FU13),2081-2098,5,6.8E-05,5.73,27.2,0.012,-5.54,-5.89
(2008 CT1),2041-2117,148,6.1E-05,13.77,27.6,0.01,-5.56,-6.17
(2009 RR),2098-2115,24,8.3E-06,12.95,25.6,0.026,-5.56,-6.32
(2020 BY1),2049-2049,1,5.2E-06,16.64,26.4,0.018,-5.57,-5.57
(2006 HX57),2045-2065,2,3.1E-06,10.53,25.2,0.031,-5.58,-5.61
(2009 BF58),2055-2117,34,6.2E-05,6.68,27.2,0.012,-5.58,-5.98
(2009 CZ1),2058-2074,2,7.5E-07,17.81,24.4,0.044,-5.59,-5.73
(2009 VA),2025-2048,18,2.2E-05,8.26,28.6,0.006,-5.59,-5.63
(2018 VA8),2099-2116,24,3.3E-05,11.82,26.9,0.014,-5.59,-5.97
(2012 BL14),2021-2116,526,1.6E-05,19.81,28.2,0.008,-5.59,-6.02
(2007 YM),2020-2115,249,4.4E-06,7.63,26.3,0.018,-5.6,-6.24
(2020 MO1),2059-2059,1,2.2E-07,17.6,23.4,0.071,-5.6,-5.6
(2011 FQ6),2053-2115,30,6.5E-05,10.5,27.7,0.01,-5.63,-5.77
(2017 AY20),2021-2021,1,2.4E-10,19.79,20.1,0.33,-5.63,-5.63
(2018 FE4),2085-2101,6,1.5E-06,20.69,24.7,0.038,-5.63,-5.92
(2017 RZ15),2071-2117,29,5E-05,7.87,27.1,0.013,-5.64,-5.99
(2017 AB21),2024-2110,25,5.6E-09,10.69,20.7,0.243,-5.64,-6.13
(2019 UT),2103-2117,11,0.00011,10.9,27.9,0.009,-5.64,-5.96
(2018 HW1),2108-2118,7,1.7E-05,4.74,25.8,0.024,-5.64,-5.68
(2017 OE7),2114-2114,1,2.9E-05,4.28,26.3,0.019,-5.64,-5.64
(2010 UB),2116-2116,2,3.6E-06,7.99,24.6,0.041,-5.65,-5.77
(2016 NK22),2084-2115,81,0.00045,6.88,28.9,0.005,-5.65,-5.85
(2018 GG),2086-2095,4,1.9E-06,14.26,24.6,0.04,-5.65,-5.65
(2017 QF3),2043-2101,28,3.2E-05,12.76,27.8,0.009,-5.65,-6.05
(2020 ED),2096-2117,4,4E-05,7.09,26.9,0.014,-5.65,-5.78
(2017 UL7),2041-2041,1,3.5E-07,16.2,24.4,0.045,-5.66,-5.66
(2019 AW2),2072-2072,1,2.9E-06,13.73,25.3,0.029,-5.66,-5.66
(2012 WS3),2082-2116,33,1.2E-05,8.78,25.9,0.022,-5.67,-6.55
(2013 RS43),2073-2116,42,3.9E-05,5.68,27,0.013,-5.67,-6.15
(2010 UH),2047-2115,38,5.1E-05,6.74,27.1,0.013,-5.68,-5.87
(2012 LJ),2051-2072,2,2.7E-06,18.7,25.6,0.026,-5.68,-5.71
(2016 CD30),2056-2111,11,4.2E-05,10.53,27.7,0.01,-5.68,-5.74
(2008 LE),2021-2116,120,2.3E-06,8.56,26,0.022,-5.69,-6.08
(2020 HB3),2105-2119,9,4.6E-06,11.38,25.1,0.032,-5.69,-6.05
(2018 WH),2053-2118,186,0.00082,7.5,29.9,0.004,-5.7,-5.86
(2014 MO68),2088-2108,2,6.3E-07,9.83,23.3,0.073,-5.71,-5.71
(2017 FB1),2098-2106,2,2.6E-07,22.18,23.4,0.072,-5.71,-5.98
(1991 BA),2023-2115,46,1.1E-05,17.23,28.7,0.006,-5.72,-5.78
(2012 BK14),2021-2117,666,5.3E-05,3.71,28,0.009,-5.72,-6.87
(2010 UY7),2066-2114,46,0.00023,3.87,28.5,0.007,-5.73,-6.18
(2011 AY22),2044-2115,33,2.8E-05,12.98,27.1,0.013,-5.73,-6.45
(2011 KF36),2022-2106,6,9.9E-10,22.33,20.4,0.28,-5.73,-6.09
(2012 BU1),2071-2116,26,7.3E-05,8.96,27.7,0.01,-5.73,-6.22
(2006 UU17),2075-2107,6,1.7E-05,9.8,26.4,0.018,-5.74,-6
(2009 HW67),2046-2079,4,2.9E-06,22.61,26.1,0.02,-5.74,-6.08
(2020 FK6),2054-2117,104,6.1E-05,13.13,28.1,0.008,-5.74,-6.71
(2011 BF40),2083-2083,1,1.2E-06,18.5,24.8,0.037,-5.76,-5.76
(2014 QC391),2078-2116,44,5.6E-05,7.61,27.5,0.011,-5.77,-6.22
(2016 JB18),2089-2116,16,6.9E-05,3.25,27.4,0.011,-5.77,-5.8
(2017 YO5),2090-2117,9,1.4E-05,7.34,26.1,0.02,-5.78,-6.07
(2015 DQ224),2025-2089,191,8.3E-05,14.95,29.3,0.005,-5.79,-6.62
(2019 YV1),2101-2119,5,5.3E-06,5.74,25.2,0.031,-5.79,-6.21
(2017 UJ43),2050-2109,29,4.9E-05,6.91,27.8,0.009,-5.79,-6.13
(2006 SC),2043-2109,8,1.6E-06,12.22,25.2,0.031,-5.79,-5.93
(2018 BN6),2077-2117,22,1.9E-05,10.23,26.8,0.015,-5.8,-6
443104 (2013 XK22),2101-2101,1,1.4E-06,6.9,24.2,0.05,-5.8,-5.8
(2013 NH6),2060-2060,2,1.1E-07,21.74,23.4,0.073,-5.8,-6.05
(2017 VJ),2109-2118,7,1.9E-06,11.52,24.5,0.042,-5.8,-6.07
(2020 KU),2070-2108,20,0.00014,6.92,28.5,0.007,-5.8,-6.08
(2011 AK37),2097-2097,1,2.8E-06,11.87,25.1,0.032,-5.81,-5.81
(2012 VS76),2080-2114,9,1.8E-05,11.47,26.9,0.014,-5.81,-6.16
(2019 FA),2036-2094,15,6.6E-05,5.68,28.7,0.006,-5.81,-6.29
(2020 KC5),2083-2106,3,3.6E-05,8.96,27.3,0.012,-5.81,-5.81
(2007 UN12),2071-2116,34,0.00025,1.57,28.7,0.006,-5.82,-6.65
(2017 YO3),2049-2067,26,4.1E-05,8.31,28.2,0.008,-5.82,-5.89
(2017 MZ8),2023-2119,62,3.2E-08,9.59,22.4,0.112,-5.82,-6.22
(2009 WR52),2031-2113,59,8.4E-05,5.41,28.3,0.007,-5.83,-6.24
(2011 DS),2065-2116,16,2.7E-05,6.54,27,0.013,-5.83,-6.13
(2015 EO),2050-2083,7,7E-06,14.25,26.6,0.016,-5.83,-6.17
(2016 SK2),2073-2082,5,2.2E-06,13.64,25.3,0.029,-5.83,-5.86
(2016 SA2),2110-2119,13,0.00013,5.19,28.1,0.008,-5.83,-6.19
(2010 HP20),2021-2115,631,4.9E-05,7.36,28.2,0.008,-5.84,-6.71
(2011 DV10),2093-2093,1,1.2E-06,16.27,24.8,0.038,-5.84,-5.84
(2015 FA345),2024-2102,17,1.6E-07,9.44,24.1,0.052,-5.84,-5.94
(2020 AW),2044-2118,82,0.00017,4.56,28.7,0.006,-5.84,-6.55
(2017 FN1),2033-2072,7,0.00017,17.92,30.6,0.003,-5.84,-5.94
(2007 XZ9),2068-2089,2,1.1E-06,13.01,24.8,0.037,-5.85,-5.89
(2019 JR2),2079-2118,14,2.2E-05,13.36,27.1,0.013,-5.85,-5.97
(2019 DX),2051-2103,16,1.7E-05,12.39,26.9,0.014,-5.85,-6.14
(2017 HG4),2048-2115,23,3.9E-05,3.71,27.6,0.01,-5.85,-6.55
(2007 UD6),2058-2096,53,8.8E-05,5.99,28.3,0.007,-5.86,-6.42
(2005 SO1),2110-2110,9,3.9E-06,12.02,25.4,0.028,-5.86,-6.37
(2018 BL11),2102-2119,24,8.8E-05,11.29,28.2,0.008,-5.87,-6.1
(2018 RB2),2092-2119,31,3.5E-05,9.05,27.3,0.012,-5.87,-6.25
(2019 GD4),2065-2118,28,5E-05,7.52,27.7,0.01,-5.87,-6.2
(2011 TO),2063-2076,5,6E-06,8.55,26.3,0.019,-5.88,-5.89
(2015 MN11),2081-2081,2,5.1E-07,21.06,24.5,0.042,-5.88,-5.91
(2006 WV29),2036-2108,12,5.7E-06,16.74,26.5,0.017,-5.89,-6.27
(2009 HC),2095-2114,10,2.9E-06,3.72,24.8,0.038,-5.89,-6.24
(2011 CL50),2040-2116,75,5E-05,3.51,27.6,0.01,-5.89,-6.84
(2019 NO2),2102-2117,4,9.6E-05,8.72,28.3,0.008,-5.89,-5.89
(2020 LV),2109-2114,2,5E-06,4.49,25.3,0.03,-5.89,-5.91
(2005 TH50),2031-2101,25,5.5E-05,4.95,28,0.009,-5.9,-6.23
(2013 RO30),2044-2095,10,9.1E-05,9.26,28.4,0.007,-5.9,-6.01
(2006 WZ184),2084-2114,25,9.3E-06,7.26,26.1,0.021,-5.91,-6.7
(2008 EV84),2041-2106,3,7.1E-07,12.93,25.4,0.029,-5.91,-5.91
(2009 TU),2086-2111,7,1.9E-05,15.15,27.4,0.011,-5.91,-6.45
(2016 GK2),2092-2116,9,4.8E-05,9.12,27.8,0.009,-5.91,-6.15
(2017 UC52),2046-2116,43,4E-07,13.63,24.3,0.048,-5.91,-6.49
(2015 TG24),2102-2116,30,1.6E-05,9.84,26.7,0.016,-5.92,-6.82
(2017 AA21),2024-2117,194,2.4E-06,7.82,26,0.021,-5.92,-6.79
(2014 OM207),2089-2101,3,0.00023,8.2,29.1,0.005,-5.93,-5.94
(2018 EB4),2099-2103,2,2.6E-06,13.09,25.4,0.028,-5.94,-5.95
(2007 PR25),2094-2113,3,1.9E-08,29.29,21.9,0.14,-5.95,-6.07
(2004 VZ14),2076-2114,4,1.9E-06,15.26,25.3,0.03,-5.95,-6.38
(2011 CF66),2021-2117,825,1.4E-05,13.01,27.8,0.009,-5.95,-7.13
(2011 BP40),2031-2105,15,1.3E-06,3.48,25.4,0.028,-5.95,-6.3
(2006 BM8),2106-2115,11,2.6E-06,14.79,25.4,0.028,-5.96,-6.14
(2007 EO88),2073-2111,8,8.6E-06,10.95,26.4,0.018,-5.96,-6.47
(2020 FN3),2098-2119,7,1.2E-06,6.74,24.3,0.048,-5.96,-6.16
(2013 GA55),2070-2114,23,4.5E-05,9.34,27.7,0.01,-5.96,-6.12
(2009 TB),2021-2112,38,5.9E-06,10.29,29.2,0.005,-5.96,-6.3
(2017 UE52),2022-2108,55,2.4E-08,11.53,22.9,0.091,-5.96,-6.35
(2017 WL15),2058-2114,15,2.5E-06,17.98,25.8,0.023,-5.96,-6.47
(2020 TF6),2056-2075,6,1.6E-05,12.55,27.6,0.01,-5.96,-6.32
(2009 JL2),2057-2116,12,3.4E-06,12.83,26,0.022,-5.97,-6.46
(2012 PB20),2066-2116,10,2.8E-06,4.03,24.9,0.035,-5.97,-6.58
(2018 EE9),2067-2115,26,6.3E-06,15.96,26.3,0.018,-5.97,-6.12
(2020 DO2),2071-2113,10,6.9E-06,22.34,26.8,0.015,-5.97,-6.37
(2015 ET),2076-2117,11,8.9E-06,11.67,26.7,0.016,-5.99,-6.46
(2016 CY135),2103-2114,5,1.4E-06,6.74,24.4,0.044,-5.99,-6.18
(2013 BR27),2073-2106,40,2.9E-05,10.95,27.7,0.01,-6,-6.45
(2019 SC),2051-2051,1,6.1E-06,14.26,27.2,0.012,-6,-6
(2020 FZ2),2110-2118,3,1.1E-06,22.31,25.1,0.032,-6,-6.24
(2020 AO1),2049-2049,1,9.1E-08,17.02,23.7,0.062,-6.01,-6.01
(2007 TL16),2074-2090,10,5.1E-06,11.43,26.2,0.019,-6.02,-6.11
(2009 HS44),2111-2111,1,6.3E-06,18.29,26.6,0.017,-6.02,-6.02
(2014 GY44),2074-2089,4,1.7E-06,12.31,25.4,0.028,-6.03,-6.28
(2017 WF30),2020-2119,970,2E-06,6.63,26.4,0.018,-6.03,-6.96
(2017 HJ61),2024-2089,9,1E-05,13.44,28.8,0.006,-6.03,-6.06
(2019 BZ),2077-2119,18,2.7E-05,8.62,27.6,0.01,-6.03,-6.24
(2020 TZ3),2072-2072,3,9.2E-07,9.45,24.8,0.037,-6.04,-6.24
(2014 SR261),2058-2115,8,4.6E-06,15.27,26.8,0.015,-6.04,-6.1
(2016 EM156),2108-2116,4,5.7E-05,8.81,27.9,0.009,-6.04,-6.05
(2016 NP56),2024-2113,17,4.5E-06,2.18,26.2,0.019,-6.04,-6.27
(2020 TD8),2045-2096,12,6.8E-06,7.39,27,0.013,-6.05,-6.14
(2019 AH3),2060-2071,4,1.2E-05,18.04,28,0.009,-6.05,-6.17
(2010 TW54),2074-2115,16,3.2E-05,7.78,27.6,0.01,-6.06,-6.1
(2017 RC),2086-2117,26,4.5E-05,9.85,27.9,0.009,-6.06,-6.49
(2016 CG18),2062-2116,40,8.8E-05,4.25,28.5,0.007,-6.06,-6.4
(2012 BA102),2104-2117,7,1.2E-05,7.21,26.5,0.017,-6.07,-6.3
(2014 JV79),2021-2116,168,2.9E-07,11.14,25.2,0.031,-6.07,-6.78
(2016 RP41),2022-2114,48,1.5E-08,8.17,22.5,0.11,-6.07,-6.43
(2020 BJ14),2082-2082,1,5.1E-07,10.6,24.3,0.047,-6.07,-6.07
(2020 RJ2),2061-2119,24,0.00025,3.55,29.2,0.005,-6.07,-6.46
(2016 LG10),2108-2108,4,3.2E-06,8.69,25.5,0.027,-6.08,-6.44
(2009 TD17),2047-2110,55,2.3E-05,6.57,27.7,0.01,-6.09,-6.91
(2012 XM16),2081-2107,4,2.4E-06,12.68,25.8,0.024,-6.09,-6.18
(2019 RT3),2087-2117,5,1.9E-06,7.62,25.2,0.031,-6.09,-6.26
(2019 TK5),2061-2096,19,1.5E-05,5.58,27.4,0.011,-6.09,-6.22
(2013 WZ44),2111-2111,1,3E-06,12.56,25.7,0.025,-6.1,-6.1
(2009 VZ39),2020-2116,899,7E-06,6.34,27.9,0.009,-6.11,-7.43
(2015 TL21),2061-2095,6,3.3E-06,15.23,26.4,0.018,-6.11,-6.56
(2019 BU1),2056-2062,2,2E-06,14.35,26.2,0.02,-6.11,-6.15
(2014 FX32),2076-2108,2,1.1E-06,9.05,25.1,0.033,-6.12,-6.12
(2017 YV8),2078-2117,26,2.3E-05,7.51,27.4,0.011,-6.12,-6.31
(2015 RD36),2099-2099,1,2E-08,36.46,22.6,0.1,-6.12,-6.12
(2007 YS56),2104-2113,3,4.2E-06,9.14,25.8,0.023,-6.13,-6.39
(2008 YV32),2085-2107,12,6.2E-06,8.79,26.4,0.018,-6.13,-6.64
(2010 VO139),2022-2115,217,1.6E-06,20.62,26.6,0.017,-6.13,-7.03
(2014 WA),2049-2049,1,1.8E-05,9.55,28.2,0.008,-6.13,-6.13
(2016 TQ18),2086-2110,3,6.6E-06,9.59,26.3,0.018,-6.13,-6.17
(2020 SW5),2077-2117,27,2.3E-06,15.9,25.8,0.024,-6.14,-6.65
(2008 DA4),2091-2100,2,3.4E-07,11.16,23.9,0.056,-6.15,-6.42
(2015 BE511),2057-2103,5,5.1E-05,9.87,28.7,0.006,-6.15,-6.28
(2019 UL),2088-2117,15,0.00011,4.24,28.7,0.006,-6.15,-6.36
(2018 SD2),2065-2115,33,7.1E-05,2.85,28.4,0.007,-6.15,-6.62
(2001 SB170),2089-2095,2,2.9E-08,22.49,22.4,0.11,-6.16,-6.46
(2009 TM8),2079-2116,168,7.6E-05,7.96,28.6,0.007,-6.16,-7.54
(2007 TX22),2040-2088,57,3.4E-05,8.87,28.4,0.007,-6.16,-6.91
(2010 CS19),2104-2116,7,4.5E-05,6.82,28,0.009,-6.16,-6.21
(2012 CL17),2095-2115,19,1.4E-06,21.48,25.7,0.024,-6.16,-6.66
(2018 BD),2032-2092,8,6.2E-05,8.89,30.2,0.003,-6.16,-6.17
(2013 HT14),2071-2077,3,1.7E-06,20.51,26.3,0.019,-6.17,-6.29
(2011 WN69),2038-2109,3,2.2E-06,23.03,26.2,0.02,-6.17,-6.39
(2017 UP43),2110-2116,5,7.2E-06,7.91,26.4,0.018,-6.18,-6.47
(2017 DA120),2024-2041,4,7E-10,15.51,20.9,0.23,-6.19,-6.33
(2006 SF281),2023-2116,338,1.2E-06,4.55,26.1,0.02,-6.19,-7.7
(2007 VH189),2037-2045,5,2.8E-08,18.48,23.4,0.073,-6.19,-6.63
(2017 SC33),2024-2029,2,3.6E-10,25.18,21.1,0.21,-6.19,-6.29
(2020 BB5),2092-2119,10,0.00025,8.82,29.7,0.004,-6.19,-6.21
(2020 QJ5),2056-2103,9,7.2E-06,9.93,26.8,0.015,-6.19,-6.46
(2001 UD5),2107-2107,1,4.1E-08,16.73,22.4,0.11,-6.21,-6.21
(2002 UV36),2087-2087,1,7E-06,8.06,26.7,0.016,-6.21,-6.21
(2016 AB166),2106-2108,3,3.1E-07,21.61,24.4,0.044,-6.21,-6.33
(2016 AZ193),2020-2114,492,2.2E-06,5.05,26.6,0.016,-6.21,-7.15
(2019 CJ4),2075-2116,11,1.9E-06,10.94,25.4,0.028,-6.21,-6.7
(2017 DW119),2023-2113,34,1.6E-06,8.71,26.6,0.016,-6.21,-6.59
(2020 GE),2089-2114,11,5.6E-05,2.03,28.1,0.008,-6.21,-6.54
(2005 TA),2082-2115,17,2E-05,4.81,27.2,0.012,-6.22,-6.73
(2006 SR131),2060-2116,30,2.8E-05,8.46,28,0.009,-6.22,-6.92
(2017 QM33),2071-2107,12,1.1E-05,17.61,27.8,0.01,-6.22,-6.26
(2017 DG16),2074-2105,29,0.00015,6.48,29.4,0.004,-6.22,-6.29
(2020 OM6),2106-2106,1,1.6E-06,5.05,25,0.034,-6.22,-6.22
(2007 DC),2045-2115,57,1.2E-05,6.75,27.5,0.011,-6.23,-6.98
(2020 TO2),2119-2119,2,6.1E-06,12.56,26.6,0.017,-6.23,-6.43
(2019 MT2),2079-2109,10,5E-06,11.36,26.4,0.018,-6.24,-6.64
