Object_Designation  ,Year_Range  ,Potential_Impacts  ,Impact_Probability_cumulative,Vinfinity,H_mag,Estimated_Diameter,Palermo_Scale,Palermo_Scale_max
(2017 TD6),2081-2081,1,3.5E-08,9,27.2,0.012,-8.67,-8.67
(2018 XW3),2044-2044,1,4.5E-09,12.28,26.3,0.018,-8.68,-8.68
(2006 WV),2103-2103,1,2.9E-08,14.69,27.1,0.013,-8.68,-8.68
(2019 FT1),2104-2113,2,3.7E-08,10.86,27,0.014,-8.68,-8.76
(2015 HM182),2021-2116,96,1.6E-07,6.93,29,0.005,-8.73,-9.58
(2018 WG2),2078-2103,2,1.2E-06,6.47,30.1,0.003,-8.73,-8.81
(2012 WQ3),2040-2040,1,5.5E-10,23.77,25.4,0.028,-8.74,-8.74
(2012 YR1),2077-2077,1,1.5E-08,7.84,26.5,0.017,-8.74,-8.74
(2016 JY5),2093-2107,3,4.7E-08,6.17,27.1,0.013,-8.74,-9.09
(2008 EF32),2083-2083,3,2.6E-07,13.11,29.4,0.004,-8.76,-8.79
(2018 AT2),2115-2115,1,9.5E-08,7.11,27.7,0.01,-8.76,-8.76
(2017 VC14),2111-2111,2,1.3E-07,11.5,28.3,0.007,-8.76,-8.86
(2009 JE1),2044-2093,8,2E-08,5.64,27.3,0.012,-8.8,-9.1
(2011 SL189),2043-2100,5,8.6E-10,9.74,24.6,0.04,-8.8,-9.33
(2020 TJ7),2101-2101,2,1.7E-08,9.41,26.6,0.017,-8.8,-8.87
(2008 WJ14),2031-2089,8,4.4E-09,10.65,26.5,0.017,-8.84,-9.32
(2011 CA7),2062-2064,3,5.4E-07,8.91,30.3,0.003,-8.84,-9.07
(2016 JA),2064-2089,3,4.1E-08,7.59,27.5,0.011,-8.84,-9.1
(2002 CA26),2115-2115,1,7.6E-09,11.06,25.9,0.022,-8.85,-8.85
(2019 SX8),2110-2116,4,2.6E-07,8.33,28.9,0.005,-8.85,-9.1
(2015 HE183),2090-2090,1,5.9E-08,13.58,28.2,0.008,-8.86,-8.86
(2016 UR36),2107-2107,2,2.6E-08,17.96,27.5,0.011,-8.87,-8.98
(2013 RZ53),2104-2107,2,3.7E-06,1.28,31.1,0.002,-8.88,-8.99
(2019 QD),2112-2112,1,1.2E-07,15.33,28.8,0.006,-8.88,-8.88
(2009 EJ1),2041-2086,4,4E-08,10.47,28.3,0.008,-8.9,-9.11
(2019 UW7),2081-2081,1,2.2E-08,10.01,27.3,0.012,-8.9,-8.9
(2016 AQ164),2035-2035,1,6.9E-08,13.9,29.9,0.004,-8.92,-8.92
(2013 EC20),2112-2112,3,3.2E-07,2.67,29,0.005,-8.93,-9.22
(2017 BF136),2069-2105,3,2.5E-09,20.9,26.1,0.02,-8.95,-9.11
(2009 XQ2),2084-2114,2,2.6E-10,26.17,24.1,0.051,-8.96,-9.19
(2019 JZ2),2041-2041,1,1.7E-09,20.15,26.7,0.015,-8.96,-8.96
